,sh,kingdom,phylum,class,order,family,genus,assignedLevel
2738,SH0910542.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
2739,SH0967378.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,,,order
2740,SH1268781.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Hypomyces,genus
2743,SH0911406.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
2748,SH0904240.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,genus
2751,SH1000070.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
2753,SH1017787.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
2754,SH0997483.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,genus
2756,SH1025506.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
2759,SH1026733.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Tympanidaceae,,family
2760,SH1066385.09FU,k__Fungi,p__Chytridiomycota,c__Lobulomycetes,o__Lobulomycetales,,,order
2762,SH1023896.09FU,k__Fungi,p__Ascomycota,,,,,phylum
2763,SH1265372.09FU,k__Fungi,p__Chytridiomycota,c__GS13,,,,class
2765,SH0909964.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
2766,SH0882910.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,order
2767,SH1000116.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
2771,SH1202539.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,order
2774,SH1297567.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS21,,,order
2775,SH1082403.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Ophiostomatales,f__Ophiostomataceae,g__Dryadomyces,genus
2777,SH1297559.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS21,,,order
2779,SH1000132.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
2783,SH1313734.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
2786,SH0910250.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
2787,SH1095709.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
2790,SH0934501.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Mollisiaceae,g__Mollisia,genus
2793,SH1003123.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
2795,SH1080026.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Stomiopeltis,genus
2800,SH1014148.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Stephanosporaceae,,family
2802,SH1189020.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
2815,SH1173347.09FU,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Microbotryomycetes_ord_Incertae_sedis,f__Chrysozymaceae,g__Chrysozyma,genus
2821,SH0907515.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__Endogonales,,,order
2823,SH0984222.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Glomerellaceae,g__Colletotrichum,genus
2830,SH1842027.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
2836,SH1118463.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,,family
2837,SH1154621.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,class
2845,SH1078789.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
2856,SH1053503.09FU,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,,,,class
2866,SH1279308.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrophorus,genus
2881,SH1306460.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
2886,SH1038296.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,genus
2892,SH0890898.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Arrhenia,genus
2893,SH1251115.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
2896,SH1199110.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,,,order
2900,SH1123716.09FU,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,genus
2924,SH1216965.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Phanerochaetaceae,g__Phanerochaete,genus
2942,SH1240966.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
2944,SH0941519.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,class
2955,SH1040077.09FU,k__Fungi,p__Ascomycota,,,,,phylum
2959,SH0905528.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,,family
2976,SH0909834.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
2993,SH1232729.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,,family
3015,SH1038451.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
3029,SH1267705.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
3034,SH1118426.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3037,SH0992797.09FU,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Microglossum,genus
3055,SH1025497.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
3070,SH1232804.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3083,SH1000164.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
3091,SH1306571.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
3092,SH1208993.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Tulostoma,genus
3109,SH1232797.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3112,SH1224771.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3113,SH1177302.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Tympanidaceae,,family
3126,SH0953374.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Atractosporales,f__Conlariaceae,g__Conlarium,genus
3127,SH0978185.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,class
3128,SH1039860.09FU,k__Fungi,p__Ascomycota,,,,,phylum
3131,SH1000064.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
3136,SH1232593.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3141,SH1192655.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,,,order
3142,SH1000074.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
3145,SH1232852.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3151,SH0911993.09FU,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,,family
3153,SH1232751.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3155,SH1263629.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,class
3162,SH0940955.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
3164,SH1177288.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
3165,SH0891128.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,,family
3178,SH1294136.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,g__Mycoleptodiscus,genus
3180,SH0966738.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
3181,SH1085693.09FU,k__Fungi,p__Glomeromycota,,,,,phylum
3189,SH1047621.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
3191,SH1046565.09FU,k__Fungi,p__Ascomycota,,,,,phylum
3197,SH0967214.09FU,k__Fungi,p__Glomeromycota,,,,,phylum
3199,SH1044402.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
3210,SH1241524.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Podosporaceae,g__Podospora,genus
3214,SH1052820.09FU,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor,genus
3218,SH0992847.09FU,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Microglossum,genus
3226,SH1232533.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3227,SH1049038.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
3232,SH0937972.09FU,k__Fungi,p__Ascomycota,,,,,phylum
3233,SH1279868.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
3242,SH0995992.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Caliciales,f__Physciaceae,g__Tornabea,genus
3244,SH0992810.09FU,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Microglossum,genus
3258,SH0911036.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
3260,SH0905372.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,class
3270,SH1118427.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3271,SH1134200.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,g__Helicomyces,genus
3272,SH0917707.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Ceratocystidaceae,g__Ceratocystis,genus
3275,SH1232653.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3276,SH1232805.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3283,SH1075478.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Leotia,genus
3289,SH0909884.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
3291,SH1071762.09FU,k__Fungi,p__Basidiomycota,,,,,phylum
3297,SH0884582.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,genus
3299,SH1266261.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
3300,SH0910899.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
3304,SH0904556.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,g__Thaxteriellopsis,genus
3312,SH0911429.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,class
3313,SH1021553.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Carbonicolaceae,g__Carbonicola,genus
3316,SH0927412.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,genus
3332,SH1252465.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Arrhenia,genus
3337,SH1224353.09FU,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,genus
3341,SH0954181.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Acarosporales,f__Acarosporaceae,g__Acarospora,genus
3348,SH1124630.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,class
3350,SH1259538.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3352,SH1110497.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Amanitaceae,g__Amanita,genus
3353,SH1305101.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Verrucariales,f__Verrucariaceae,g__Thelidium,genus
3355,SH1039072.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
3359,SH1041279.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
3364,SH1025503.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
3365,SH1271181.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiales,,,order
3366,SH0915154.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Tricladiaceae,g__Spirosphaera,genus
3371,SH1049055.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,,,,class
3372,SH0903457.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,,,order
3374,SH1002214.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
3375,SH1232597.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3379,SH0920840.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Parmeliaceae,g__Xanthoparmelia,genus
3380,SH1081302.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,g__Lophiostoma,genus
3382,SH1027148.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
3383,SH1232517.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3385,SH0977789.09FU,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor,genus
3388,SH1162772.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,order
3389,SH1271362.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Tympanidaceae,,family
3392,SH1299431.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Derxomyces,genus
3395,SH0909788.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
3406,SH1196058.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
3422,SH1320985.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Hymenochaetales_fam_Incertae_sedis,g__Loreleia,genus
3436,SH1078674.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
3438,SH1000123.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
3441,SH0916737.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Melanconidaceae,g__Prosthecium,genus
3446,SH1210022.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
3447,SH1077751.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,,,order
3452,SH1215212.09FU,k__Fungi,p__Mucoromycota,c__Mucoromycotina_cls_Incertae_sedis,o__Mucoromycotina_ord_Incertae_sedis,f__Mucoromycotina_fam_Incertae_sedis,g__Bifiguratus,genus
3455,SH0946181.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,,family
3458,SH0922193.09FU,k__Fungi,p__Basidiomycota,c__Atractiellomycetes,o__Atractiellales,f__Phleogenaceae,g__Helicogloea,genus
3467,SH0912797.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
3471,SH1253828.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Varicosporium,genus
3473,SH0940615.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
3474,SH1315022.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Phyllachorales,f__Phyllachoraceae,g__Phaeochorella,genus
3477,SH0910619.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
3478,SH0976067.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,g__Pezicula,genus
3479,SH1256559.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecideales,f__Lecideaceae,g__Porpidia,genus
3482,SH1232463.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3487,SH1200693.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,,,order
3488,SH0920739.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Parmeliaceae,g__Hypogymnia,genus
3495,SH1027590.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,class
3499,SH0937507.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meruliaceae,g__Ceraceomyces,genus
3502,SH1068142.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,order
3503,SH1232720.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3504,SH0910767.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
3508,SH1038024.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,,,order
3514,SH1000217.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
3519,SH1078729.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
3522,SH1000180.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
3523,SH1314595.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Sclerococcales,f__Dactylosporaceae,g__Dactylospora,genus
3524,SH1164680.09FU,k__Fungi,p__Glomeromycota,,,,,phylum
3527,SH0909966.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
3528,SH1091121.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,,,,class
3531,SH0947097.09FU,k__Fungi,p__Ascomycota,,,,,phylum
3532,SH1273034.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3533,SH1298288.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Amanitaceae,g__Amanita,genus
3535,SH0911430.09FU,k__Fungi,p__Ascomycota,,,,,phylum
3537,SH1290794.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Parmeliaceae,g__Melanelixia,genus
3541,SH1000288.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
3542,SH1110622.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Lopadostomataceae,g__Lopadostoma,genus
3544,SH1287771.09FU,k__Fungi,p__Ascomycota,,,,,phylum
3545,SH1144549.09FU,k__Fungi,p__Ascomycota,,,,,phylum
3546,SH1473938.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Acarosporales,f__Acarosporaceae,g__Sarcogyne,genus
3547,SH1241071.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Mollisiaceae,g__Phialocephala,genus
3548,SH1241041.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Mollisiaceae,g__Phialocephala,genus
3549,SH1071130.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
3551,SH0940853.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
3560,SH0979913.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,,family
3563,SH1038400.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
3564,SH0994414.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
3567,SH1044633.09FU,k__Fungi,p__Basidiomycota,,,,,phylum
3574,SH0906847.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces,genus
3575,SH0991595.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Venturiaceae,,family
3578,SH1232796.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
3580,SH1036725.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
3581,SH0912750.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
3582,SH1219605.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Polyozellus,genus
3635,SH1055695.09FU,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,,,order
3638,SH1180344.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Halosphaeriaceae,g__Nais,genus
3642,SH0943582.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,,,order
3644,SH0905592.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,,family
3657,SH1053484.09FU,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,,,,class
3664,SH0974398.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Myxotrichaceae,g__Oidiodendron,genus
3666,SH1084283.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Xenoteratosphaeria,genus
3674,SH0901185.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,genus
3675,SH0913179.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,,,order
3676,SH0893872.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Trechisporales_fam_Incertae_sedis,g__Sertulicium,genus
3681,SH1074705.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,class
3682,SH1055313.09FU,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,,,order
3685,SH1391982.09FU,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__Umbelopsidales,f__Umbelopsidaceae,g__Umbelopsis,genus
3708,SH0896880.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__GS33,,,order
3715,SH1115015.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Tulasnellaceae,g__Tulasnella,genus
3718,SH0956202.09FU,k__Fungi,p__Olpidiomycota,c__Olpidiomycetes,o__Olpidiales,f__Olpidiaceae,g__Olpidium,genus
3722,SH0905747.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,,,order
3726,SH1252443.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Arrhenia,genus
3732,SH0951446.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,class
3736,SH1167664.09FU,k__Fungi,p__Basidiomycota,,,,,phylum
3737,SH0901291.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,genus
3739,SH1054375.09FU,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,,,order
3740,SH1055298.09FU,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,,,order
