,sh,kingdom,phylum,class,order,family,genus,assignedLevel
1054,SH1328665.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,,,order
1056,SH1086973.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Mycosphaerella,genus
1057,SH1121957.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,order
1060,SH1065029.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Alboleptonia,genus
1063,SH1300746.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Aporpiaceae,g__Elmerina,genus
1064,SH0940906.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
1065,SH0955926.09FU,k__Fungi,p__Ascomycota,,,,,phylum
1066,SH1039605.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
1067,SH1314456.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
1068,SH1297572.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS21,,,order
1069,SH1063681.09FU,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,g__Geranomyces,genus
1070,SH1236774.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Ramariopsis,genus
1072,SH0909795.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
1073,SH0910964.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Sorocybe,genus
1074,SH0974507.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,class
1075,SH1095695.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
1076,SH0956201.09FU,k__Fungi,p__Olpidiomycota,c__Olpidiomycetes,o__Olpidiales,f__Olpidiaceae,g__Olpidium,genus
1077,SH0948378.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae,g__Calvatia,genus
1078,SH0940965.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
1080,SH0992760.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,class
1081,SH0952456.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,genus
1082,SH0998499.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Pleuroascaceae,g__Entimomentora,genus
1083,SH1106573.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
1085,SH1273255.09FU,k__Fungi,p__Chytridiomycota,c__Rhizophlyctidomycetes,o__Rhizophlyctidales,,,order
1086,SH1111378.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,g__Trechispora,genus
1087,SH1323155.09FU,k__Fungi,p__Basidiomycota,c__Ustilaginomycetes,o__Ustilaginales,f__Anthracoideaceae,g__Pilocintractia,genus
1088,SH1286874.09FU,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__GS23,,,order
1089,SH1038444.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,,family
1090,SH0912125.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Teichosporaceae,g__Teichospora,genus
