,sh,phylum,class,order,family,genus,species
15137,AB035712.1.2164,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa ogasawarensis
15138,AB031192.1.1521,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,Ophiocordyceps konnoana
15165,AB035895.1.2133,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa hahajimensis
15189,AB034910.1.1763,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Citeromyces,Citeromyces matritensis
15231,AB035719.1.2174,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa ogasawarensis
15236,AB013528.1.1782,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,[Candida] psychrophila
15249,AB032639.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,[Cryptococcus] albidus var. kuetzingii
15267,AB041247.1.1790,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Phyllosticta capitalensis
15277,AB013548.1.1777,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma-Candida,Yamadazyma-Candida clade
15289,AB032655.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia vishniacii
15295,AB027754.1.1731,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Kodamaea-Candida,Kodamaea-Candida clade
15304,AB013569.1.1711,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Starmerella-Candida,Starmerella-Candida clade
15309,AB028190.1.1770,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium namyslowskii
15314,AB042218.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella litseae
15317,AB032646.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Phaeotremellaceae,Phaeotremella,Phaeotremella skinneri
15325,AB023949.1.1727,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium viride
15345,AB013590.1.1784,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii var. hansenii
15362,AB026435.1.1766,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Geosmithia,Geosmithia putterillii
15373,AB053233.1.1733,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia membranifaciens
15464,AB075546.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium globisporum
15472,AB041248.1.1790,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Phyllosticta capitalensis
15486,AB033483.1.1784,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Golovinomyces,Golovinomyces orontii
15494,AB032618.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia albida
15540,AB032069.1.1766,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Geosmithia,Geosmithia putterillii
15556,AB035720.1.1795,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa syzygii
15586,AB054275.1.1751,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Schwanniomyces,Schwanniomyces polymorphus
15589,AB032627.1.1781,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma dimennae
15601,AB032642.1.1782,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,Cystofilobasidium macerans
15611,AB054287.1.1744,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma-Candida,Yamadazyma-Candida clade
15613,AB032625.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,[Cryptococcus] consortionis
15619,AB032115.1.2081,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,Rasamsonia argillacea
15624,AB054525.1.1767,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Sugiyamaella,Candida sp. HA 167
15627,AB032650.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia vishniacii
15638,AB054545.1.1759,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
15641,AB032657.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia vishniacii
15654,AB032665.1.1783,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia frigida
15661,AB042219.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella cucphuongensis
15672,AB032619.1.1783,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus amylolentus
15673,AB042222.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella calophylli
15677,AB054565.1.1769,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces canadensis
15678,AB032664.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium uniguttulatum
15681,AB035714.1.2182,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa ogasawarensis
15700,AB032641.1.1781,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella luteola
15705,AB054675.1.1765,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus
15714,AB032644.1.1781,Basidiomycota,Tremellomycetes,Trichosporonales,Tetragoniomycetaceae,Bandonia,Bandonia marina
15727,KF913250.1.1718,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. Salmanfb
15769,AB041249.1.1790,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Phyllosticta capitalensis
