,sh,phylum,class,order,family,genus,species
161071,CP012823.715505.717301,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fibuligera
161087,CP012823.557167.558963,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fibuligera
161098,CP012823.668935.670731,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fibuligera
161126,KP687974.1.2053,Ascomycota,Dothideomycetes,Valsariales,Valsariaceae,Valsaria,Valsaria neotropica
161146,CP014242.1104851.1106647,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium sinecaudum
161151,CP016237.2339049.2340835,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma reesei QM6a
161215,DQ060085.1.1717,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Bjerkandera,Bjerkandera adusta
161303,CP014503.4920094.4921892,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Sugiyamaella,Sugiyamaella lignohabitans
161359,CP015978.682858.684654,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fibuligera
161374,CP015978.905431.907227,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fibuligera
161386,CP015978.599392.601188,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fibuligera
161478,KT289769.1.1930,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,fungal sp.
161481,EU342896.1.1672,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Boeremia,Boeremia exigua var. exigua
161482,EU342910.1.1672,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Boeremia,Boeremia exigua var. exigua
161484,EU342966.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia endophylla
161485,EU342986.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia endophylla
161486,EU342993.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia endophylla
161487,EU343004.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia endophylla
161488,EU343013.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Neocatenulostroma,Neocatenulostroma microsporum
161489,EU343048.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Neocatenulostroma,Neocatenulostroma microsporum
161490,EU343060.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Neocatenulostroma,Neocatenulostroma microsporum
161491,EU343082.1.1672,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium herbarum
161539,D14165.1.1744,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina populina
161542,D38234.1.1746,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Agaricostilbaceae,Pseudobensingtonia,Pseudobensingtonia ingoldii
161543,D38367.1.1747,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,Kondoa yuccicola
161545,D45366.1.1748,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Incertae Sedis,Hasegawazyma,Hasegawazyma lactosa
161549,D64122.1.1739,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Kurtzmanomyces,Kurtzmanomyces nectairei
161567,KR259885.1.1636,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Mycosisymbrium,Mycosisymbrium cirrhosum
161581,EF443134.1.1652,Incertae Sedis,Lobulomycetales,Lobulomycetaceae,Lobulomyces,Lobulomyces,Lobulomyces poculatus
161607,GEUG01014002.644.1937,Ascomycota,Dothideomycetes,Pleosporales,Amia,Amia,Amia calva (bowfin)
161640,CP023460.1177533.1179319,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus
161700,CP025762.1473552.1475344,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGII R265
161766,CP028773.3773.5538,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia kudriavzevii
161806,DQ419918.1.1790,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Kriegeria,Kriegeria eriophori
161823,DQ435811.1.1741,Basidiomycota,Agaricomycetes,Agaricales,Catathelasma,Catathelasma,Catathelasma ventricosum
161839,CP023460.1164188.1165972,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus
161842,GDMN01020310.4374.6169,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,Rigidoporus,Rigidoporus microporus
161928,GQ995310.1.1778,Incertae Sedis,uncultured,uncultured Chytridiomycota,,uncultured,uncultured Chytridiomycota
161934,GQ995378.1.1774,Incertae Sedis,Spizellomycetales,Powellomycetaceae,Geranomyces,uncultured,uncultured Chytridiomycota
161939,GQ995426.1.1770,Incertae Sedis,Rhizophydiales,Rhizophydiaceae,uncultured Chytridiomycota,uncultured,uncultured Chytridiomycota
161970,DQ519019.1.1696,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma melibiosi
162016,DQ536476.1.1239,Incertae Sedis,Incertae Sedis,Synchytriaceae,Synchytrium,Synchytrium,Synchytrium sp. DUH0009364
162017,DQ536488.1.1799,Incertae Sedis,Rhizophydium sp. MP8,,,Rhizophydium,Rhizophydium sp. MP8
162075,DQ076324.1.1967,Ascomycota,Sordariomycetes,Incertae Sedis,Incertae Sedis,Ceratostomella,Ceratostomella pyrenaica
162134,CP015978.775598.777394,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fibuligera
162135,CP015978.896157.897955,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fibuligera
162136,CP015978.543748.545544,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis fibuligera
162168,CP017820.2431188.2433001,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia sclerotiorum 1980 UF-70
162191,CP019375.3373120.3374675,Basidiomycota,Agaricomycetes,Polyporales,Incertae Sedis,Trametes,Trametes hirsuta
162207,EF134949.1.1774,Ascomycota,Dothideomycetes,Capnodiales,Schizothyriaceae,Schizothyrium,Schizothyrium pomi
162209,EF137366.1.1703,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,Rhinocladiella phaeophora
162210,EF141323.1.1621,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia lipolytica
162273,DQ444855.1.1803,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Hydropus,Hydropus cf. scabripes PBM 2513
162286,CP017820.2420740.2422522,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia sclerotiorum 1980 UF-70
162287,GCRV01001010.66.1927,Entomophthoromycotina,Entomophthorales,Entomophthoraceae,insect metagenome,insect,insect metagenome
162305,DQ465338.1.1789,Basidiomycota,Agaricomycetes,Agaricales,Pholiotina,Pholiotina,Pholiotina filaris
162311,DQ470998.1.1785,Ascomycota,Sordariomycetes,Incertae Sedis,Papulosaceae,Papulosa,Papulosa amerospora
162317,DQ471016.1.1390,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,Pezicula carpinea
162319,DQ471020.1.1355,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Petriella,Petriella setifera
162332,CP019375.3383998.3385553,Basidiomycota,Agaricomycetes,Polyporales,Incertae Sedis,Trametes,Trametes hirsuta
162343,DQ499512.1.1735,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma-Candida,Meyerozyma-Candida clade
162375,HQ191325.1.2281,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,uncultured Dikarya
162376,HQ191376.1.2419,Incertae Sedis,Rhizophydiales,uncultured Chytridiomycota,,uncultured,uncultured Chytridiomycota
162386,GEHI01004799.4844.6643,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucocoprinus sp. HH-2015b
162409,CP016237.2323449.2325235,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma reesei QM6a
162558,DQ157745.1.1769,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Arthrobotrys oligospora
162567,DQ363305.1.1580,Basidiomycota,Exobasidiomycetes,Entylomatales,Entylomataceae,Entyloma,Entyloma gaillardianum
162582,DQ173150.1.1648,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,Phaeoacremonium sphinctrophorum
162584,DQ367450.1.1641,Kickxellomycotina,Harpellales,Legeriomycetaceae,Orphella,Orphella,Orphella cf. hiemalis KS-83-W3
162601,CP016237.2370245.2372031,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma reesei QM6a
162634,DQ402184.1.2127,Ascomycota,Dothideomycetes,Hysteriales,Hysterographium,Hysterographium,Hysterographium pulchrum
162802,EF550377.1.1729,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia norvegensis
162805,EF550393.1.1538,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Komagataella,Komagataella pseudopastoris
162810,EF550419.1.1690,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera-Candida,Cyberlindnera-Candida clade
162812,EF550441.1.1665,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces-Candida,Wickerhamomyces-Candida clade
162817,EF550459.1.1663,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera-Candida,Cyberlindnera-Candida clade
162818,EF550472.1.1661,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces hampshirensis
162819,EF550479.1.1665,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces-Candida,Wickerhamomyces-Candida clade
162882,DQ173673.1.1710,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida kruisii clade
162905,CP030254.726917.728695,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta
162956,DQ247810.1.1577,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,Dothidea insculpta
162994,DQ266429.1.1661,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia aberdeeniae
162999,DQ435812.1.1783,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Cheimonophyllum,Cheimonophyllum candidissimum
163022,DQ444856.1.1794,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Hydropus,Hydropus marginellus
163070,DQ465339.1.1785,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella candolleana
163099,DQ499658.1.1201,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sp. F63
163105,CP030254.734669.736447,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta
163178,CP021088.1534678.1536420,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia kudriavzevii
163181,CP021090.1360984.1362740,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia kudriavzevii
163187,DQ787826.1.1706,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pulvinula,Pulvinula carbonaria
163196,DQ831033.1.1785,Basidiomycota,Exobasidiomycetes,Doassansiales,Rhamphospora,Rhamphospora,Rhamphospora nymphaeae
163214,CP022810.98491.100278,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Parastagonospora,Parastagonospora nodorum
163223,CU329672.10419.12260,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,Schizosaccharomyces pombe (fission yeast)
163280,CU928180.1151475.1153273,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea thermotolerans CBS 6340
163285,D14407.1.1772,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma deliquescens
163288,D31650.1.1753,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma globospora
163290,D38236.1.1749,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,Kondoa miscanthi
163296,D63695.1.1733,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus awamori
163297,D66883.1.1762,Basidiomycota,Cystobasidiomycetes,Incertae Sedis,Incertae Sedis,Buckleyzyma,Buckleyzyma sp. JCM 2963
163301,DQ519031.1.1696,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Myxozyma,Lipomyces suomiensis
163314,DQ534675.1.1772,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis
163315,DQ534683.1.1735,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Hydnomerulius,Hydnomerulius pinastri
163329,DQ641245.1.1781,Incertae Sedis,Senoma globulifera,,,Senoma,Senoma globulifera
163330,DQ198788.1.1576,Basidiomycota,Exobasidiomycetes,Doassansiales,Heterodoassansia,Heterodoassansia,Heterodoassansia hygrophilae
163339,DQ646535.1.1789,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Marcelleina,Marcelleina tuberculispora
163373,DQ678040.1.1473,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Neocatenulostroma,Neocatenulostroma abietis
163421,CU329672.21289.23130,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,Schizosaccharomyces pombe (fission yeast)
163468,CP019375.3305310.3307104,Basidiomycota,Agaricomycetes,Polyporales,Incertae Sedis,Trametes,Trametes hirsuta
163485,D13776.1.1757,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,Kondoa malvinella
163490,D31651.1.1866,Basidiomycota,Tremellomycetes,Tremellales,Sugitazyma,Sugitazyma,Sugitazyma miyagiana
163497,D66884.1.1758,Basidiomycota,Microbotryomycetes,Incertae Sedis,Chrysozymaceae,Chrysozyma,Chrysozyma griseoflava
163535,EF550357.1.1709,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Saturnispora,Saturnispora zaruensis
163538,EF550392.1.1537,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Komagataella,Komagataella pastoris
163540,EF550417.1.1678,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces onychis
163541,EF550440.1.1662,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces-Candida,Wickerhamomyces-Candida clade
163548,EF550470.1.1666,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera-Candida,Cyberlindnera-Candida clade
163549,EF550478.1.1666,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces-Candida,Wickerhamomyces-Candida clade
163554,DQ195071.1.1719,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma-Candida,Meyerozyma-Candida clade
163559,DQ198786.1.1576,Basidiomycota,Pucciniomycetes,Platygloea pustulata,,Platygloea,Platygloea pustulata
163564,DQ211052.1.1764,Mucoromycotina,Mucorales,Pilobolaceae,Pilobolus,Pilobolus,Pilobolus sphaerosporus
163679,CP021242.1499963.1501750,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis
163756,DQ097341.1.1769,Basidiomycota,Agaricomycetes,Agaricales,Henningsomyces sp. FP-105017,Henningsomyces,Henningsomyces sp. FP-105017
163806,KR779279.1.1517,Mucoromycotina,Endogonales,Endogonaceae,Endogone,Mucoromycotina,Mucoromycotina sp. 9152.1-D
163902,DQ520094.1.3666,Basidiomycota,Agaricomycetes,Auriculariales,Hyaloriaceae,Pseudohydnum,Pseudohydnum gelatinosum
163921,DQ534684.1.1785,Basidiomycota,Agaricomycetes,Boletales,Incertae Sedis,Leucogyrophana,Leucogyrophana mollusca
163971,CP022025.4959619.4961393,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria solani
163978,DQ678024.1.1564,Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae,Scorias,Scorias spongiosa
164006,DQ104808.1.1757,Ascomycota,Dothideomycetes,Incertae Sedis,Incertae Sedis,Pseudosigmoidea,Pseudosigmoidea cranei
164031,DQ138082.1.1725,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Paecilomyces,Paecilomyces sp. AS 3.6885
164047,DQ247813.1.1554,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,Pyronema domesticum
164135,DQ113912.1.1792,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius rotula
164195,DQ173672.1.1751,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida kruisii clade
164228,KR909317.1.1599,Ascomycota,Dothideomycetes,Pleosporales,Pseudochaetosphaeronema,Pseudochaetosphaeronema,Pseudochaetosphaeronema martinelli
164238,EF689876.1.2015,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Hydropunctaria,Hydropunctaria maura
164239,EF689886.1.3246,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Verrucula,Verrucula arnoldaria
164248,EU011697.1.1704,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
164249,EU011725.1.1717,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Nakazawaea,Nakazawaea anatomiae
164256,DQ834916.1.1771,Basidiomycota,Agaricomycetes,Resinicium saccharicola,,Resinicium,Resinicium saccharicola
164271,DQ846889.1.1758,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustanciosporium,Ustanciosporium standleyanum
164278,DQ873646.1.1781,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Repetobasidium,Repetobasidium conicum
164302,KP322974.1.1599,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Tranzscheliella,Tranzscheliella williamsii
164358,CP026300.491487.493276,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae (baker's yeast)
164422,DQ384066.1.1736,Ascomycota,Dothideomycetes,Pleosporales,Didymocrea,Didymocrea,Didymocrea sadasivanii
164461,EF589732.1.1299,Basidiomycota,Agaricomycetes,Incertae Sedis,Incertae Sedis,Giulia,Giulia tenuis
164470,EU011734.1.1722,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces bruxellensis
164551,DQ435813.1.1789,Basidiomycota,Agaricomycetes,Agaricales,Chromosera,Chromosera,Chromosera cyanophylla
164564,GCRV01001009.66.1943,Entomophthoromycotina,Entomophthorales,Entomophthoraceae,Furia,insect,insect metagenome
164580,DQ470999.1.1875,Ascomycota,Sordariomycetes,Torpedosporales,Torpedosporaceae,Torpedospora,Torpedospora radiata
164584,DQ471036.1.1687,Ascomycota,Sordariomycetes,Boliniales,Boliniaceae,Camarops,Camarops microspora
164618,GU972227.1.1387,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,uncultured organism
164626,DQ986702.1.1309,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidina,Bacidina arnoldiana
164659,EF051577.1.1572,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia lipolytica
164663,EF059806.1.1215,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Cerrena,Cerrena sp. MTCC 5159
164671,GQ995335.1.1773,Incertae Sedis,Incertae Sedis,Incertae Sedis,Catenomyces,uncultured,uncultured Chytridiomycota
164674,GQ995437.1.1770,Incertae Sedis,Rhizophydiales,uncultured,uncultured Chytridiomycota,uncultured,uncultured Chytridiomycota
164737,EF689841.1.3147,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Placidiopsis,Placidiopsis cartilaginea
164738,EF689870.1.3149,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Placopyrenium,Placopyrenium fuscellum
164748,EU011694.1.1724,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
164803,DQ521604.1.1742,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora chaetospira
164827,DQ646538.1.1786,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Miladina,Miladina lecithina
164828,DQ646551.1.1743,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Sowerbyella,Sowerbyella imperialis
164854,DQ678004.1.1833,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium cladosporioides
164856,DQ678026.1.1602,Ascomycota,Dothideomycetes,Pleosporales,Delitschia,Delitschia,Delitschia winteri
164949,KP322957.1.1766,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Pseudozyma,Pseudozyma hubeiensis
165050,EF113984.1.1285,Ascomycota,Leotiomycetes,Satchmopsis,Satchmopsis brasiliensis,Satchmopsis,Satchmopsis brasiliensis
165168,CU928181.839345.841147,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces rouxii
165169,D12530.1.1736,Ascomycota,Incertae Sedis,Incertae Sedis,Incertae Sedis,Saitoella,Saitoella complicata
165177,D31656.1.1754,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Xanthophyllomyces,Xanthophyllomyces dendrorhous
165287,D12531.1.1741,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina wiesneri
165290,D31657.1.1758,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Udeniomyces,Udeniomyces megalosporus
165292,D43946.1.1739,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Agaricostilbaceae,Pseudobensingtonia,Pseudobensingtonia musae
165295,D64123.1.1736,Basidiomycota,Tremellomycetes,Tremellales,Sirobasidiaceae,Fibulobasidium,Fibulobasidium inconspicuum
165296,D78325.1.1736,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Derxomyces,Derxomyces mrakii
165297,D78330.1.1734,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,Bullera unica
165309,CP023460.1155446.1157233,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus
165402,EU167575.1.3039,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta medicaginicola
165480,EF443136.1.1632,Incertae Sedis,Lobulomycetales,Lobulomycetaceae,Lobulomyces,Lobulomyces,Lobulomyces sp. JEL178
165500,D85648.1.1765,Basidiomycota,Pucciniomycetes,Helicobasidiales,Helicobasidiaceae,Helicobasidium,Helicobasidium purpureum
165514,DQ018084.1.1652,Ascomycota,Dothideomycetes,Pleosporales,Incertae Sedis,Pseudodictyosporium,Pseudodictyosporium elegans
165542,DQ092920.1.1793,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella sp. AFTOL-ID 1016
165623,HQ191329.1.2305,Incertae Sedis,Rhizophydiales,Kappamycetaceae,uncultured Chytridiomycota,uncultured,uncultured Chytridiomycota
165732,DQ018083.1.1714,Ascomycota,Dothideomycetes,Pleosporales,Incertae Sedis,Pseudodictyosporium,Pseudodictyosporium wauense
165739,DQ242636.1.1600,Basidiomycota,Tremellomycetes,Trichosporonales,Cryptotrichosporon,Cryptotrichosporon,Cryptotrichosporon anacardii
165851,CU329672.1.1390,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,Schizosaccharomyces pombe (fission yeast)
165886,CU928180.1146694.1148492,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea thermotolerans CBS 6340
165890,D14406.1.1770,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Hamigera,Hamigera avellanea
165893,D38235.1.1744,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium intermedium
165896,D61381.1.1775,Entomophthoromycotina,Entomophthorales,Entomophthoraceae,Zoophthora,Zoophthora,Zoophthora radicans
165935,EF550378.1.1721,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,[Candida] inconspicua
165939,EF550420.1.1613,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Starmera-Candida,Starmera-Candida clade
165940,EF550442.1.1667,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces-Candida,Wickerhamomyces-Candida clade
165944,EF550480.1.1665,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces-Candida,Wickerhamomyces-Candida clade
165959,KT265343.1.1546,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Cryphonectria-Endothia,Cryphonectria-Endothia complex
165975,KT278693.1.1637,Ascomycota,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Phaeoisaria,Phaeoisaria fasciculata
165984,KT289803.1.2632,Ascomycota,Leotiomycetes,Helotiales,fungal sp.,fungal,fungal sp.
165985,EU342902.1.1672,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Boeremia,Boeremia exigua var. exigua
165986,EU342916.1.1672,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Boeremia,Boeremia exigua var. exigua
165987,EU342946.1.1672,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Boeremia,Boeremia exigua var. exigua
165993,EU342990.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia endophylla
165995,EU342995.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia endophylla
165997,EU343019.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Neocatenulostroma,Neocatenulostroma microsporum
166005,EU343065.1.1669,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Neocatenulostroma,Neocatenulostroma microsporum
166007,EU343094.1.1672,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium herbarum
166013,EU343112.1.1672,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium herbarum
